id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
1778796000000000000,1778796000000,24980000,4378.75,4381.25,4378.75,4379,86,55,31,4379.71511627907,4378.75,4378.75,4381.25,4378.75,4381.25,4378.75,0.00,0.00,0.00,0.00,2.50,4391.92,0.00,0.00,0.00,0.00,4378.75,2.50,4378.75,4378.75,4378.75,0.00,0.00,0.00,0.00,0.00,4378.75,4378.75,4378.75,4378.75
1778796060000000000,1778796060000,24980001,4379,4382.25,4379,4382.25,563,479,84,4379.752220248668,4378.88,4378.92,4382.12,4378.92,4381.27,4378.86,0.00,0.00,0.00,1.00,3.25,4391.92,0.00,0.00,0.00,0.00,8757.75,2.54,4378.88,4378.88,4378.88,0.00,0.00,0.00,100.00,7.14,4378.97,4378.97,4379.01,4378.93
1778796120000000000,1778796120000,24980002,4383,4387,4383,4387,103,25,78,4385.121359223301,4380.25,4380.96,4382.79,4380.96,4381.42,4379.91,0.00,0.00,0.00,5.75,4.75,4391.92,0.00,0.00,0.00,0.00,13140.75,2.66,4380.25,4380.25,4380.25,0.00,0.00,0.00,100.00,51.52,4379.52,4379.52,4381.13,4377.91
1778796195000000000,1778796195000,24980003,4386,4387.25,4385.5,4386.25,245,192,53,4386.462244897959,4381.56,4382.97,4383.88,4382.77,4381.56,4381.14,0.00,0.00,0.00,6.00,1.75,4391.92,0.00,0.00,0.00,0.00,17526.25,2.61,4381.56,4381.56,4381.56,0.00,0.00,0.00,100.00,85.29,4381.11,4380.99,4384.11,4377.86
1778796255000000000,1778796255000,24980004,4386.75,4387,4385,4385.75,82,50,32,4386.106707317073,4382.25,4384.23,4384.12,4383.52,4381.70,4382.17,0.00,0.00,0.00,5.75,2.00,4391.92,0.00,0.00,0.00,0.00,21911.25,2.58,4382.25,4382.25,4382.25,0.00,0.00,0.00,100.00,94.12,4381.54,4381.29,4384.56,4378.03
1778796330000000000,1778796330000,24980005,4386,4388.5,4386,4388.5,97,33,64,4386.80412371134,4382.88,4384.74,4384.48,4384.23,4381.87,4382.90,0.00,0.00,0.00,7.25,2.75,4391.92,0.00,0.00,0.00,0.00,26297.25,2.59,4382.88,4382.88,4382.88,0.00,0.00,0.00,52.48,74.36,4381.91,4381.68,4385.17,4378.19
1778796390000000000,1778796390000,24980006,4387.25,4389.75,4387.25,4389.75,165,99,66,4388.590909090909,4383.50,4385.37,4385.13,4384.98,4382.07,4383.52,0.00,0.00,0.00,8.50,2.50,4391.92,0.00,0.00,0.00,0.00,30684.50,2.58,4383.50,4383.50,4383.50,0.00,0.00,0.00,55.27,77.27,4382.57,4382.37,4386.27,4378.46
1778796450000000000,1778796450000,24980007,4389.25,4389.25,4387.5,4388,312,278,34,4388.261217948718,4384.00,4386.23,4385.91,4385.54,4382.25,4384.12,0.00,0.00,0.00,8.00,2.25,4391.92,0.00,0.00,0.00,0.00,35072.00,2.57,4384.00,4384.00,4384.00,0.00,0.00,0.00,55.81,95.45,4383.83,4383.34,4387.52,4379.15
1778796525000000000,1778796525000,24980008,4388,4389.5,4387,4389.25,129,97,32,4388.587209302325,4384.33,4386.58,4386.17,4385.83,4382.43,4384.61,0.00,0.00,0.00,8.25,2.50,4391.92,0.00,0.00,0.00,0.00,39459.00,2.56,4384.33,4384.33,4384.33,0.00,0.00,0.00,54.42,84.09,4384.13,4383.60,4387.79,4379.41
1778796585000000000,1778796585000,24980009,4391.25,4392,4389.5,4389.5,114,85,29,4390.984649122807,4384.85,4387.43,4386.52,4386.50,4382.67,4385.13,0.00,0.00,0.00,9.75,2.75,4391.92,0.00,0.00,0.00,0.00,43848.50,2.57,4384.85,4384.85,4384.85,0.00,0.00,0.00,59.70,94.34,4384.56,4383.96,4388.36,4379.55
